choice_0_0;choice_1_0;choice_2_0;choice_3_0;av_0_0;av_1_0;av_2_0;av_3_0;LADE_TANK_ZEIT_0_0;LADE_TANK_ZEIT_1_0;LADE_TANK_ZEIT_2_0;LADE_TANK_ZEIT_3_0;MEAN_HH_AGE_0_0;MEAN_HH_AGE_1_0;MEAN_HH_AGE_2_0;MEAN_HH_AGE_3_0;RELATIVER_KAUFPREIS_0_0;REICHWEITE_DURCH100_0_0;RELATIVER_KAUFPREIS_1_0;REICHWEITE_DURCH100_1_0;RELATIVER_KAUFPREIS_2_0;REICHWEITE_DURCH100_2_0;RELATIVER_KAUFPREIS_3_0;REICHWEITE_DURCH100_3_0
1;0;0;0;1;1;1;0;2;2;15;0;52;52;52;52;8.235294118;7;22.35294118;5;12.94117647;2.5;0;0
0;0;1;0;1;1;1;0;2;2;5;0;33.25;33.25;33.25;33.25;4.761904762;7;8.571428571;5;10.47619048;2.5;0;0
0;0;0;1;0;1;1;1;0;2;10;2;66.5;66.5;66.5;66.5;0;0;13.84615385;5;20;6.5;13.84615385;6
0;0;1;0;0;1;1;0;0;2;5;0;34;34;34;34;0;0;13.10344828;5;4.137931034;6.5;0;0
0;0;0;1;1;0;0;1;2;0;0;2;37;37;37;37;7.222222222;5;0;0;0;0;5;6
0;0;1;0;1;0;1;1;2;0;5;2;23;23;23;23;17.89473684;5;0;0;15.78947368;4.5;9.473684211;4
0;0;1;0;1;0;1;0;2;0;25;0;33.66666667;33.66666667;33.66666667;33.66666667;15.29411765;9;0;0;22.35294118;4.5;0;0
0;0;1;0;1;1;1;0;2;2;15;0;48;48;48;48;13.68421053;7;5.263157895;9;5.263157895;2.5;0;0
1;0;0;0;1;0;1;0;2;0;15;0;69.5;69.5;69.5;69.5;8.235294118;7;0;0;7.058823529;6.5;0;0
1;0;0;0;1;1;1;0;2;2;20;0;18.25;18.25;18.25;18.25;10.76923077;7;16.92307692;5;29.23076923;4.5;0;0
0;0;1;0;0;1;1;1;0;2;10;2;28.33333333;28.33333333;28.33333333;28.33333333;0;0;42.22222222;5;28.88888889;4.5;20;8
0;0;1;0;0;1;1;1;0;2;10;2;56;56;56;56;0;0;12;5;6.666666667;4.5;13.33333333;8
0;0;0;1;1;0;1;1;2;0;25;2;20.75;20.75;20.75;20.75;13.6;7;0;0;4.8;2.5;8.8;8
0;0;0;1;0;1;1;1;0;2;10;2;53.5;53.5;53.5;53.5;0;0;15.55555556;7;22.22222222;2.5;20;8
0;0;0;1;1;0;1;1;2;0;20;2;68.5;68.5;68.5;68.5;32;9;0;0;28;2.5;36;6
0;0;1;0;0;1;1;1;0;2;10;2;59;59;59;59;0;0;37.77777778;7;15.55555556;6.5;24.44444444;4
0;1;0;0;0;1;1;0;0;2;5;0;55;55;55;55;0;0;15.55555556;9;42.22222222;4.5;0;0
0;0;0;1;0;1;1;1;0;2;15;2;44;44;44;44;0;0;10.76923077;9;20;4.5;13.84615385;4
0;1;0;0;1;1;1;0;2;2;20;0;57.5;57.5;57.5;57.5;3.888888889;7;6.111111111;5;7.222222222;6.5;0;0
0;0;0;1;1;0;1;1;2;0;5;2;39;39;39;39;12.94117647;5;0;0;9.411764706;4.5;10.58823529;8
0;1;0;0;0;1;1;1;0;2;15;2;21.2;21.2;21.2;21.2;0;0;23.63636364;9;10.90909091;2.5;16.36363636;6
0;0;0;1;0;0;1;1;0;0;10;2;50.5;50.5;50.5;50.5;0;0;0;0;44;2.5;32;6
0;1;0;0;1;1;1;0;2;2;5;0;62;62;62;62;23.63636364;5;5.454545455;9;20;4.5;0;0
0;0;1;0;1;1;1;0;2;2;25;0;21.2;21.2;21.2;21.2;5.454545455;7;20;5;20;6.5;0;0
0;0;1;0;1;0;1;0;2;0;25;0;38.66666667;38.66666667;38.66666667;38.66666667;9.62962963;9;0;0;14.07407407;4.5;0;0
0;1;0;0;0;1;1;0;0;2;20;0;57.5;57.5;57.5;57.5;0;0;10;9;24.28571429;6.5;0;0
1;0;0;0;1;0;1;1;2;0;20;2;30.25;30.25;30.25;30.25;6.086956522;9;0;0;8.695652174;2.5;13.04347826;4
0;0;0;1;0;1;1;1;0;2;10;2;32;32;32;32;0;0;2.608695652;9;9.565217391;2.5;7.826086957;6
0;1;0;0;0;1;1;1;0;2;10;2;56;56;56;56;0;0;8.235294118;9;22.35294118;4.5;9.411764706;4
0;0;1;0;0;1;1;0;0;2;20;0;69;69;69;69;0;0;20;7;23.63636364;6.5;0;0
0;0;1;0;0;1;1;1;0;2;10;2;46;46;46;46;0;0;34.54545455;7;10.90909091;6.5;20;4
0;0;0;1;1;0;1;1;2;0;20;2;51.5;51.5;51.5;51.5;33.33333333;9;0;0;33.33333333;4.5;17.77777778;4
0;1;0;0;0;1;1;1;0;2;10;2;70.5;70.5;70.5;70.5;0;0;16.92307692;9;4.615384615;4.5;26.15384615;8
0;1;0;0;0;1;1;0;0;2;5;0;34;34;34;34;0;0;40;9;60;4.5;0;0
